gene_id,Symbol,product,,gene_synonym,EC_number
b0760,modF,ABC family protein ModF,,chlD; ECK0749; phrA,
b0761,modE,DNA-binding transcriptional dual regulator ModE,,chlD; ECK0750; modR,
b0762,acrZ,multidrug efflux pump accessory protein AcrZ,,ECK0751; ybhT,
b0763,modA,molybdate ABC transporter periplasmic binding protein,,ECK0752,7.3.2.5
b0764,modB,molybdate ABC transporter membrane subunit,,chlJ; ECK0753; tslJ,7.3.2.5
b0765,modC,molybdate ABC transporter ATP binding subunit,,chlD; ECK0754; narD,7.3.2.5
b0766,ybhA,"pyridoxal phosphate/fructose-1,6-bisphosphate phosphatase",,ECK0755,3.1.3.11; 3.1.3.74
b0767,pgl,6-phosphogluconolactonase,,ECK0756; ybhE,3.1.1.31
b0768,ybhD,putative DNA-binding transcriptional regulator YbhD,,ECK0757,
b0769,ybhH,putative isomerase YbhH,,ECK0758,
b0770,ybhI,putative tricarboxylate transporter,,ECK0759,
b0771,ybhJ,putative hydratase YbhJ,,ECK0760,
b0772,ybhC,outer membrane lipoprotein YbhC,,ECK0761,
b0773,ybhB,putative kinase inhibitor,,ECK0762,
b0774,bioA,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,,ECK0763,2.6.1.62
b0775,bioB,biotin synthase,,ECK0764,2.8.1.6
b0776,bioF,8-amino-7-oxononanoate synthase,,ECK0765,2.3.1.47
b0777,bioC,malonyl-acyl carrier protein methyltransferase,,ECK0766,2.1.1.197
b0778,bioD,dethiobiotin synthetase,,ECK0767,6.3.3.3
b0779,uvrB,UvrABC excision nuclease subunit B,,dar-1; dar-6; ECK0768,
b0780,ybhK,putative transferase YbhK,,ECK0769,
b0781,moaA,"GTP 3',8'-cyclase",,bisA; chlA; chlA1; ECK0770; narA,4.1.99.22
b0782,moaB,protein MoaB,,chlA2; ECK0771,
b0783,moaC,cyclic pyranopterin monophosphate synthase,,chlA3; ECK0772,4.6.1.17
b0784,moaD,molybdopterin synthase sulfur carrier subunit,,chlA4; chlM; ECK0773,2.8.1.12
b0785,moaE,molybdopterin synthase catalytic subunit,,chlA5; ECK0774,2.8.1.12
b0786,ybhL,Bax1-I family protein YbhL,,ECK0775,
b0787,ybhM,Bax1-I family protein YbhM,,ECK0776,
b0788,ybhN,PF03706 family inner membrane protein YbhN,,ECK0777,
b0789,clsB,cardiolipin synthase B,,ECK0778; ybhO,2.7.8.41
b0790,ybhP,endonuclease/exonuclease/phosphatase domain-containing protein YbhP,,ECK0779,
b0791,ybhQ,inner membrane protein YbhQ,,ECK0780,
b0792,ybhR,ABC exporter membrane subunit YbhR,,ECK0781,7.6.2.2
b0793,ybhS,ABC exporter membrane subunit YbhS,,ECK0782,7.6.2.2
b0794,ybhF,ABC exporter ATP binding subunit YbhF,,ECK0783,7.6.2.2
b0795,ybhG,HlyD_D23 family protein YbhG,,ECK0784,
b0796,cecR,DNA-binding transcriptional dual regulator CecR,,ECK0785; ybiH,
b0797,rhlE,ATP-dependent RNA helicase RhlE,,ECK0786,5.6.2.7
b0798,ybiA,N-glycosidase YbiA,,ECK0787,
b0799,dinG,ATP-dependent DNA helicase DinG,,ECK0788; rarB,5.6.2.3
b0800,ybiB,nonspecific DNA-binding protein YbiB,,ECK0789,
b0801,hcxB,hydroxycarboxylate dehydrogenase B,,ECK0790; ybiC,1.1.1.237
b4814,zbiJ,small regulatory RNA ZbiJ,,ECK4671,
b4769,ybiE,protein YbiE,,ECK4626,
b0802,ybiJ,DUF1471 domain-containing protein YbiJ,,ECK0791,
b0803,ybiI,zinc finger domain-containing protein YbiI,,ECK0792,
b0804,ybiX,PKHD-type hydroxylase YbiX,,ECK0793,
b0805,fiu,Fe catecholate outer membrane transporter Fiu,,ECK0794; ybiL,
b0806,mcbA,DUF1471 domain-containing protein McbA,,ECK0795; ybiM,
b0807,rlmF,23S rRNA m(6)A1618 methyltransferase,,ECK0796; ybiN,2.1.1.181
b0808,ybiO,moderate conductance mechanosensitive channel YbiO,,ECK0797,
b0809,glnQ,L-glutamine ABC transporter ATP binding subunit,,ECK0798,7.4.2.1
b0810,glnP,L-glutamine ABC transporter membrane subunit,,ECK0799,7.4.2.1
b0811,glnH,L-glutamine ABC transporter periplasmic binding protein,,ECK0800,7.4.2.1
b0812,dps,DNA protection during starvation protein,,ECK0801; pexB; vtm,
b0813,rhtA,L-threonine/L-homoserine exporter,,ECK0802; ybiF,
b4736,yliM,protein YliM,,ECK4593,
b0814,ompX,outer membrane protein X,,ECK0803; ompP; ybiG,
b0815,opgE,phosphoethanolamine transferase OpgE,,ECK0804; ybiP,
b4416,rybA,small RNA RybA,,ECK0806,
b4705,mntS,small protein MntS,,ECK4517; G0-8881,
b0817,mntR,DNA-binding transcriptional dual regulator MntR,,ECK0807; ybiQ,
b0818,ybiR,putative transporter YbiR,,ECK0808,
b0819,ldtB,"L,D-transpeptidase LdtB",,ECK0809; ybiS,
b0820,ybiT,putative ATP-binding protein YbiT,,ECK0810,
b0821,ybiU,DUF1479 domain-containing protein YbiU,,ECK0811,
b0822,ybiV,sugar phosphatase YbiV,,ECK0812,3.1.3.23
b0823,ybiW,putative pyruvate formate lyase,,ECK0813; pflF,
b0824,ybiY,putative pyruvate formate-lyase activating enzyme YbiY,,ECK0814; pflE,
b0825,fsaA,fructose-6-phosphate aldolase 1,,ECK0815; fsa; mipB; ybiZ,
b0826,moeB,molybdopterin-synthase adenylyltransferase,,chlN; ECK0816,2.7.7.80
b0827,moeA,molybdopterin molybdotransferase,,bisB; chlE; ECK0817; narE,2.10.1.1
b0828,iaaA,isoaspartyl dipeptidase proenzyme,,ECK0818; spt; ybiK,3.4.19.5; 3.5.1.1
b0829,gsiA,glutathione ABC transporter ATP binding subunit GsiA,,ECK0819; yliA,7.4.2.10
b0830,gsiB,glutathione ABC transporter periplasmic binding protein,,ECK0820; yliB,7.4.2.10
b0831,gsiC,glutathione ABC transporter membrane subunit GsiC,,ECK0821; yliC,7.4.2.10
b0832,gsiD,glutathione ABC transporter membrane subunit GsiD,,ECK0822; yliD,7.4.2.10
b0833,pdeI,putative cyclic di-GMP phosphodiesterase PdeI,,ECK0823; yliE,
b0834,dgcI,putative diguanylate cyclase DgcI,,ECK0824; yliF,
b0835,rimO,ribosomal protein S12 methylthiotransferase RimO,,ECK0825; yliG,2.8.4.4
b0836,bssR,regulator of biofilm formation,,ECK0826; yliH,
b0837,yliI,aldose sugar dehydrogenase YliI,,ECK0827,
b0838,gstB,glutathione S-transferase GstB,,ECK0828; yliJ,
b0839,dacC,D-alanyl-D-alanine carboxypeptidase DacC,,ECK0829,3.4.16.4
b0840,deoR,DNA-binding transcriptional repressor DeoR,,ECK0830; nucR,
b0841,ybjG,undecaprenyl pyrophosphate phosphatase,,ECK0831,3.6.1.27
b0842,mdfA,multidrug efflux pump MdfA/Na(+):H(+) antiporter/K(+):H(+) antiporter,,cmlA; cmr; ECK0832,
b0843,ybjH,uncharacterized protein YbjH,,ECK0833,
b0844,ybjI,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,,ECK0834,3.1.3.102; 3.1.3.104
b0845,ybjJ,inner membrane protein YbjJ,,ECK0835,
b0846,rcdA,DNA binding transcriptional dual regulator RcdA,,ECK0836; ybjK,
b4417,rybB,small regulatory RNA RybB,,ECK0837; p25,
b0847,ybjL,putative transport protein YbjL,,ECK0838,
b0848,ybjM,putative inner membrane protein,,ECK0839,
b0849,grxA,reduced glutaredoxin 1,,ECK0840; grx,1.8.4.2
b0850,ybjC,DUF1418 domain-containing protein YbjC,,ECK0841,
b0851,nfsA,NADPH-dependent nitro/quinone reductase NfsA,,ECK0842; mda18; mdaA; ybjB,1.6.5.10; 1.7.1.16
b0852,rimK,ribosomal protein S6 modification protein,,ECK0843; nek,
b0853,ybjN,protein YbjN,,ECK0844,
b0854,potF,putrescine ABC transporter periplasmic binding protein,,ECK0845,7.6.2.11
b0855,potG,putrescine ABC transporter ATP binding subunit,,ECK0846,7.6.2.11
b0856,potH,putrescine ABC transporter membrane subunit PotH,,ECK0847,7.6.2.11
b0857,potI,putrescine ABC transporter membrane subunit PotI,,ECK0848,7.6.2.11
b0858,ybjO,putative inner membrane protein,,ECK0849,
b0859,rlmC,23S rRNA m(5)U747 methyltransferase,,ECK0850; rumB; ybjF,2.1.1.189
b0860,artJ,L-arginine ABC transporter periplasmic binding protein,,ECK0851,7.4.2.1
b0861,artM,L-arginine ABC transporter membrane subunit ArtM,,ECK0852,7.4.2.1
b0862,artQ,L-arginine ABC transporter membrane subunit ArtQ,,ECK0853,7.4.2.1
