gene_id,kegg_pathways,pathway_names,metabolite_group
AT1G76570,ath00196,Photosynthesis – antenna proteins,other
AT1G76680,ath00592,alpha-Linolenic acid metabolism,organic-acids
AT1G76690,ath00592,alpha-Linolenic acid metabolism,organic-acids
AT1G77120,ath00010; ath00071; ath00350,Glycolysis / Gluconeogenesis; Fatty acid degradation; Tyrosine metabolism,amino acids
AT1G77330,ath00270,Cysteine and methionine metabolism,amino acids
AT1G77490,ath00053; ath00480,Ascorbate and aldarate metabolism; Glutathione metabolism,acid-sugars
AT1G77590,ath00071,Fatty acid degradation,organic-acids
AT1G77740,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT1G77760,ath00910,Nitrogen metabolism,other
AT1G78570,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT1G78580,ath00500,Starch and sucrose metabolism,sugar
AT1G78650,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G78690,ath00564,Glycerophospholipid metabolism,other
AT1G78800,ath00510,N-Glycan biosynthesis,other
AT1G78900,ath00190,Oxidative phosphorylation,other
AT1G79010,ath00190,Oxidative phosphorylation,other
AT1G79040,ath00195,Photosynthesis,other
AT1G79230,ath00270,Cysteine and methionine metabolism,amino acids
AT1G79440,ath00650; ath00250; ath00350,"Butanoate metabolism; Alanine, aspartate and glutamate metabolism; Tyrosine metabolism",amino acids
AT1G79470,ath00230,Purine metabolism,other
AT1G79530,ath00010,Glycolysis / Gluconeogenesis,sugar
AT1G79550,ath00010; ath00710,Glycolysis / Gluconeogenesis; Carbon fixation in photosynthetic organisms,sugar
AT1G79750,ath00620; ath00710,Pyruvate metabolism; Carbon fixation in photosynthetic organisms,other
AT1G80050,ath00230,Purine metabolism,other
AT1G80230,ath00190,Oxidative phosphorylation,other
AT1G80460,ath00561,Glycerolipid metabolism,other
AT1G80600,ath00330,Arginine and proline metabolism,amino acids
AT1G80660,ath00190,Oxidative phosphorylation,other
AT1G80740,ath00270,Cysteine and methionine metabolism,amino acids
AT1G80950,ath00564; ath00565,Glycerophospholipid metabolism; Ether lipid metabolism,other
AT2G01090,ath00190,Oxidative phosphorylation,other
AT2G01140,ath00010; ath00030; ath00051; ath00710,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Carbon fixation in photosynthetic organisms,sugar
AT2G01290,ath00030; ath00710,Pentose phosphate pathway; Carbon fixation in photosynthetic organisms,sugar
AT2G02000,ath00650; ath00250; ath00410; ath00430,"Butanoate metabolism; Alanine, aspartate and glutamate metabolism; beta-Alanine metabolism; Taurine and hypotaurine metabolism",amino acids
AT2G02010,ath00650; ath00250; ath00410; ath00430,"Butanoate metabolism; Alanine, aspartate and glutamate metabolism; beta-Alanine metabolism; Taurine and hypotaurine metabolism",amino acids
AT2G02050,ath00190,Oxidative phosphorylation,other
AT2G02720,ath00040,Pentose and glucuronate interconversions,sugar
AT2G02930,ath00480,Glutathione metabolism,other
AT2G02970,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT2G04350,ath00071,Fatty acid degradation,organic-acids
AT2G04540,ath00061,Fatty acid biosynthesis,organic-acids
AT2G04630,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT2G05070,ath00196,Photosynthesis – antenna proteins,other
AT2G05100,ath00196,Photosynthesis – antenna proteins,other
AT2G05320,ath00510,N-Glycan biosynthesis,other
AT2G05710,ath00630,Glyoxylate and dicarboxylate metabolism,organic-acids
AT2G05830,ath00270,Cysteine and methionine metabolism,amino acids
AT2G05990,ath00061,Fatty acid biosynthesis,organic-acids
AT2G06050,ath00592,alpha-Linolenic acid metabolism,organic-acids
AT2G07050,ath00100,Steroid biosynthesis,other
AT2G07560,ath00190,Oxidative phosphorylation,other
AT2G07671,ath00190,Oxidative phosphorylation,other
AT2G07687,ath00190,Oxidative phosphorylation,other
AT2G07698,ath00190,Oxidative phosphorylation,other
AT2G07707,ath00190; ath00195,Oxidative phosphorylation; Photosynthesis,other
AT2G07727,ath00190,Oxidative phosphorylation,other
AT2G07741,ath00190,Oxidative phosphorylation,other
AT2G07751,ath00190,Oxidative phosphorylation,other
AT2G07785,ath00190,Oxidative phosphorylation,other
AT2G11810,ath00561,Glycerolipid metabolism,other
AT2G13290,ath00510,N-Glycan biosynthesis,other
AT2G13360,ath00250; ath00260,"Alanine, aspartate and glutamate metabolism; Glycine, serine and threonine metabolism",amino acids
AT2G13560,ath00620; ath00710,Pyruvate metabolism; Carbon fixation in photosynthetic organisms,other
AT2G13810,ath00300,Lysine biosynthesis,amino acids
AT2G14170,ath00640; ath00562; ath00280,"Propanoate metabolism; Inositol phosphate metabolism; Valine, leucine and isoleucine degradation",amino acids
AT2G14260,ath00330,Arginine and proline metabolism,amino acids
AT2G14750,ath00920; ath00230,Sulfur metabolism; Purine metabolism,other
AT2G15430,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT2G15620,ath00910,Nitrogen metabolism,other
AT2G16370,ath00240,Pyrimidine metabolism,other
AT2G16500,ath00330,Arginine and proline metabolism,amino acids
AT2G16510,ath00190,Oxidative phosphorylation,other
AT2G16570,ath00230; ath00250,"Purine metabolism; Alanine, aspartate and glutamate metabolism",amino acids
AT2G16790,ath00030,Pentose phosphate pathway,sugar
AT2G17265,ath00260,"Glycine, serine and threonine metabolism",other
AT2G17420,ath00240; ath00450,Pyrimidine metabolism; Selenocompound metabolism,other
AT2G17630,ath00260; ath00750,"Glycine, serine and threonine metabolism; Vitamin B6 metabolism",other
AT2G17640,ath00920; ath00270,Sulfur metabolism; Cysteine and methionine metabolism,amino acids
AT2G17720,ath00330,Arginine and proline metabolism,amino acids
AT2G18140,ath00360,Phenylalanine metabolism,amino acids
AT2G18150,ath00360,Phenylalanine metabolism,amino acids
AT2G18230,ath00190,Oxidative phosphorylation,other
AT2G18450,ath00190,Oxidative phosphorylation,other
AT2G18960,ath00190,Oxidative phosphorylation,other
AT2G18980,ath00360,Phenylalanine metabolism,amino acids
AT2G19450,ath00561,Glycerolipid metabolism,other
AT2G19570,ath00240,Pyrimidine metabolism,other
AT2G19590,ath00270,Cysteine and methionine metabolism,amino acids
AT2G19680,ath00190,Oxidative phosphorylation,other
AT2G19800,ath00053; ath00562,Ascorbate and aldarate metabolism; Inositol phosphate metabolism,alcohol-sugars
AT2G19860,ath00010; ath00051; ath00052; ath00500; ath00520,Glycolysis / Gluconeogenesis; Fructose and mannose metabolism; Galactose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT2G19900,ath00620; ath00710,Pyruvate metabolism; Carbon fixation in photosynthetic organisms,other
AT2G19940,ath00300; ath00330,Lysine biosynthesis; Arginine and proline metabolism,amino acids
AT2G20260,ath00195,Photosynthesis,other
AT2G20340,ath00350,Tyrosine metabolism,amino acids
AT2G20360,ath00190,Oxidative phosphorylation,other
AT2G20420,ath00640,Propanoate metabolism,organic-acids
AT2G20610,ath00380,Tryptophan metabolism,amino acids
AT2G20690,ath00740,Riboflavin metabolism,other
AT2G20800,ath00190,Oxidative phosphorylation,other
AT2G20810,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT2G21170,ath00010; ath00051; ath00562; ath00710,Glycolysis / Gluconeogenesis; Fructose and mannose metabolism; Inositol phosphate metabolism; Carbon fixation in photosynthetic organisms,sugar
AT2G21330,ath00010; ath00030; ath00051; ath00710,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Carbon fixation in photosynthetic organisms,sugar
AT2G21410,ath00190,Oxidative phosphorylation,other
AT2G21590,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT2G21790,ath00230; ath00240; ath00480,Purine metabolism; Pyrimidine metabolism; Glutathione metabolism,other
AT2G22230,ath00061,Fatty acid biosynthesis,organic-acids
AT2G22240,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT2G22330,ath00380,Tryptophan metabolism,amino acids
AT2G22420,ath00360,Phenylalanine metabolism,amino acids
AT2G22450,ath00740,Riboflavin metabolism,other
AT2G22480,ath00010; ath00030; ath00051; ath00052,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Galactose metabolism,sugar
AT2G22530,ath00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,alcohol-sugars
AT2G22780,ath00620; ath00630; ath00710,Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Carbon fixation in photosynthetic organisms,organic-acids
AT2G22810,ath00270,Cysteine and methionine metabolism,amino acids
AT2G22830,ath00100,Steroid biosynthesis,other
AT2G22910,ath00330,Arginine and proline metabolism,amino acids
AT2G23096,ath00330,Arginine and proline metabolism,amino acids
AT2G24200,ath00480,Glutathione metabolism,other
AT2G24270,ath00010,Glycolysis / Gluconeogenesis,sugar
AT2G24520,ath00190,Oxidative phosphorylation,other
AT2G24800,ath00360,Phenylalanine metabolism,amino acids
AT2G25080,ath00590; ath00480,Arachidonic acid metabolism; Glutathione metabolism,organic-acids
AT2G25610,ath00190,Oxidative phosphorylation,other
AT2G25840,ath00380,Tryptophan metabolism,amino acids
AT2G26080,ath00260,"Glycine, serine and threonine metabolism",other
AT2G26230,ath00230,Purine metabolism,other
AT2G26400,ath00270,Cysteine and methionine metabolism,amino acids
AT2G26420,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT2G26800,ath00650; ath00072; ath00280,"Butanoate metabolism; Synthesis and degradation of ketone bodies; Valine, leucine and isoleucine degradation",organic-acids
AT2G26870,ath00562; ath00564; ath00565,Inositol phosphate metabolism; Glycerophospholipid metabolism; Ether lipid metabolism,alcohol-sugars
AT2G27120,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT2G27510,ath00195,Photosynthesis,other
AT2G27860,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT2G28210,ath00910,Nitrogen metabolism,other
AT2G28520,ath00190,Oxidative phosphorylation,other
AT2G28850,ath00100,Steroid biosynthesis,other
AT2G28860,ath00100,Steroid biosynthesis,other
AT2G29390,ath00100,Steroid biosynthesis,other
AT2G29440,ath00480,Glutathione metabolism,other
AT2G29460,ath00480,Glutathione metabolism,other
AT2G29480,ath00480,Glutathione metabolism,other
AT2G29490,ath00480,Glutathione metabolism,other
AT2G29540,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT2G29560,ath00010,Glycolysis / Gluconeogenesis,sugar
AT2G29630,ath00730,Thiamine metabolism,other
AT2G29980,ath01040,Biosynthesis of unsaturated fatty acids,organic-acids
AT2G29990,ath00190,Oxidative phosphorylation,other
AT2G30200,ath00061,Fatty acid biosynthesis,organic-acids
AT2G30490,ath00360,Phenylalanine metabolism,amino acids
AT2G30570,ath00195,Photosynthesis,other
AT2G30575,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT2G30650,ath00640; ath00280; ath00410,"Propanoate metabolism; Valine, leucine and isoleucine degradation; beta-Alanine metabolism",amino acids
AT2G30660,ath00640; ath00280; ath00410,"Propanoate metabolism; Valine, leucine and isoleucine degradation; beta-Alanine metabolism",amino acids
AT2G30770,ath00380,Tryptophan metabolism,amino acids
AT2G30790,ath00195,Photosynthesis,other
AT2G30860,ath00480,Glutathione metabolism,other
AT2G30970,ath00250; ath00270; ath00330; ath00350; ath00360,"Alanine, aspartate and glutamate metabolism; Cysteine and methionine metabolism; Arginine and proline metabolism; Tyrosine metabolism; Phenylalanine metabolism",amino acids
AT2G31390,ath00051; ath00500; ath00520,Fructose and mannose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT2G31570,ath00590; ath00480,Arachidonic acid metabolism; Glutathione metabolism,organic-acids
AT2G31810,ath00650; ath00660,Butanoate metabolism; C5-Branched dibasic acid metabolism,organic-acids
AT2G32260,ath00564,Glycerophospholipid metabolism,other
AT2G33040,ath00190,Oxidative phosphorylation,other
AT2G33150,ath00071; ath01040; ath00280,"Fatty acid degradation; Biosynthesis of unsaturated fatty acids; Valine, leucine and isoleucine degradation",organic-acids
AT2G33220,ath00190,Oxidative phosphorylation,other
AT2G34060,ath00360,Phenylalanine metabolism,amino acids
AT2G34420,ath00196,Photosynthesis – antenna proteins,other
AT2G34430,ath00196,Photosynthesis – antenna proteins,other
AT2G34490,ath00100,Steroid biosynthesis,other
AT2G34500,ath00100,Steroid biosynthesis,other
AT2G34590,ath00010; ath00620; ath00650,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Butanoate metabolism,sugar
AT2G34850,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT2G34890,ath00240,Pyrimidine metabolism,other
AT2G34980,ath00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,alcohol-sugars
AT2G35020,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT2G35040,ath00230,Purine metabolism,other
AT2G35390,ath00030; ath00230,Pentose phosphate pathway; Purine metabolism,sugar
AT2G35690,ath00071; ath00592; ath01040,Fatty acid degradation; alpha-Linolenic acid metabolism; Biosynthesis of unsaturated fatty acids,organic-acids
AT2G36190,ath00052; ath00500,Galactose metabolism; Starch and sucrose metabolism,sugar
AT2G36230,ath00340,Histidine metabolism,amino acids
AT2G36390,ath00500,Starch and sucrose metabolism,sugar
AT2G36460,ath00010; ath00030; ath00051; ath00710,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Carbon fixation in photosynthetic organisms,sugar
AT2G36530,ath00010,Glycolysis / Gluconeogenesis,sugar
AT2G36580,ath00010; ath00620; ath00710; ath00230,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Carbon fixation in photosynthetic organisms; Purine metabolism,sugar
AT2G36880,ath00270,Cysteine and methionine metabolism,amino acids
AT2G37040,ath00910; ath00360,Nitrogen metabolism; Phenylalanine metabolism,amino acids
AT2G37130,ath00360,Phenylalanine metabolism,amino acids
AT2G37250,ath00230,Purine metabolism,other
AT2G37500,ath00330,Arginine and proline metabolism,amino acids
AT2G37690,ath00230,Purine metabolism,other
AT2G38040,ath00620; ath00640; ath00061,Pyruvate metabolism; Propanoate metabolism; Fatty acid biosynthesis,organic-acids
AT2G38110,ath00561; ath00564,Glycerolipid metabolism; Glycerophospholipid metabolism,other
AT2G38150,ath00603,Glycosphingolipid biosynthesis – globo series,other
AT2G38230,ath00750,Vitamin B6 metabolism,other
AT2G38280,ath00230,Purine metabolism,other
AT2G38380,ath00360,Phenylalanine metabolism,amino acids
AT2G38390,ath00360,Phenylalanine metabolism,amino acids
AT2G38400,ath00250; ath00260,"Alanine, aspartate and glutamate metabolism; Glycine, serine and threonine metabolism",amino acids
AT2G38650,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT2G38670,ath00564,Glycerophospholipid metabolism,other
AT2G39040,ath00360,Phenylalanine metabolism,amino acids
AT2G39270,ath00230,Purine metabolism,other
AT2G39290,ath00564,Glycerophospholipid metabolism,other
AT2G39630,ath00510,N-Glycan biosynthesis,other
AT2G39770,ath00051; ath00520,Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT2G39800,ath00330,Arginine and proline metabolism,amino acids
AT2G40100,ath00196,Photosynthesis – antenna proteins,other
AT2G40116,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT2G40190,ath00510,N-Glycan biosynthesis,other
AT2G40840,ath00500,Starch and sucrose metabolism,sugar
AT2G40890,ath00360,Phenylalanine metabolism,amino acids
AT2G41210,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT2G41220,ath00910,Nitrogen metabolism,other
AT2G41480,ath00360,Phenylalanine metabolism,amino acids
AT2G41490,ath00510,N-Glycan biosynthesis,other
AT2G41680,ath00240; ath00450,Pyrimidine metabolism; Selenocompound metabolism,other
AT2G41880,ath00230,Purine metabolism,other
AT2G42010,ath00564; ath00565,Glycerophospholipid metabolism; Ether lipid metabolism,other
AT2G42120,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT2G42490,ath00260; ath00350; ath00360; ath00410,"Glycine, serine and threonine metabolism; Tyrosine metabolism; Phenylalanine metabolism; beta-Alanine metabolism",amino acids
AT2G42600,ath00620; ath00710,Pyruvate metabolism; Carbon fixation in photosynthetic organisms,other
AT2G42670,ath00430,Taurine and hypotaurine metabolism,other
AT2G42790,ath00630,Glyoxylate and dicarboxylate metabolism,organic-acids
AT2G43080,ath00330,Arginine and proline metabolism,amino acids
AT2G43090,ath00660,C5-Branched dibasic acid metabolism,organic-acids
AT2G43100,ath00660,C5-Branched dibasic acid metabolism,organic-acids
AT2G43480,ath00360,Phenylalanine metabolism,amino acids
AT2G43710,ath00061; ath01040,Fatty acid biosynthesis; Biosynthesis of unsaturated fatty acids,organic-acids
AT2G43750,ath00920; ath00270,Sulfur metabolism; Cysteine and methionine metabolism,amino acids
AT2G44040,ath00300,Lysine biosynthesis,amino acids
AT2G44050,ath00740,Riboflavin metabolism,other
AT2G44350,ath00630,Glyoxylate and dicarboxylate metabolism,organic-acids
AT2G44450,ath00500; ath00460,Starch and sucrose metabolism; Cyanoamino acid metabolism,amino acids
AT2G44460,ath00380,Tryptophan metabolism,amino acids
AT2G44470,ath00380,Tryptophan metabolism,amino acids
AT2G44480,ath00500; ath00460,Starch and sucrose metabolism; Cyanoamino acid metabolism,amino acids
AT2G44490,ath00380,Tryptophan metabolism,amino acids
AT2G44520,ath00190,Oxidative phosphorylation,other
AT2G44530,ath00030; ath00230,Pentose phosphate pathway; Purine metabolism,sugar
AT2G44620,ath00190,Oxidative phosphorylation,other
AT2G44660,ath00510,N-Glycan biosynthesis,other
AT2G44750,ath00730,Thiamine metabolism,other
AT2G44810,ath00564; ath00592,Glycerophospholipid metabolism; alpha-Linolenic acid metabolism,organic-acids
AT2G45220,ath00040; ath00500,Pentose and glucuronate interconversions; Starch and sucrose metabolism,sugar
AT2G45290,ath00030; ath00710,Pentose phosphate pathway; Carbon fixation in photosynthetic organisms,sugar
AT2G45310,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT2G45440,ath00300,Lysine biosynthesis,amino acids
AT2G45670,ath00564; ath00565,Glycerophospholipid metabolism; Ether lipid metabolism,other
AT2G45790,ath00051; ath00520,Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT2G46480,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT2G46860,ath00190,Oxidative phosphorylation,other
AT2G47030,ath00040; ath00500,Pentose and glucuronate interconversions; Starch and sucrose metabolism,sugar
AT2G47240,ath00071,Fatty acid degradation,organic-acids
AT2G47690,ath00190,Oxidative phosphorylation,other
AT2G47730,ath00480,Glutathione metabolism,other
AT2G47760,ath00510,N-Glycan biosynthesis,other
AT2G48150,ath00590; ath00480,Arachidonic acid metabolism; Glutathione metabolism,organic-acids
AT3G01040,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT3G01120,ath00920; ath00270; ath00450,Sulfur metabolism; Cysteine and methionine metabolism; Selenocompound metabolism,amino acids
AT3G01180,ath00500,Starch and sucrose metabolism,sugar
AT3G01190,ath00360,Phenylalanine metabolism,amino acids
AT3G01260,ath00010,Glycolysis / Gluconeogenesis,sugar
AT3G01270,ath00040,Pentose and glucuronate interconversions,sugar
AT3G01390,ath00190,Oxidative phosphorylation,other
AT3G01420,ath00592,alpha-Linolenic acid metabolism,organic-acids
AT3G01440,ath00195,Photosynthesis,other
AT3G01500,ath00910,Nitrogen metabolism,other
AT3G01590,ath00010,Glycolysis / Gluconeogenesis,sugar
AT3G01620,ath00510,N-Glycan biosynthesis,other
AT3G01850,ath00030; ath00040; ath00710,Pentose phosphate pathway; Pentose and glucuronate interconversions; Carbon fixation in photosynthetic organisms,sugar
AT3G01910,ath00920,Sulfur metabolism,other
AT3G02020,ath00260; ath00270; ath00300,"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Lysine biosynthesis",amino acids
AT3G02350,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT3G02360,ath00030; ath00480,Pentose phosphate pathway; Glutathione metabolism,sugar
AT3G02470,ath00270; ath00330,Cysteine and methionine metabolism; Arginine and proline metabolism,amino acids
AT3G02570,ath00051; ath00520,Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT3G02580,ath00100,Steroid biosynthesis,other
AT3G02590,ath00100,Steroid biosynthesis,other
AT3G02610,ath00061; ath01040,Fatty acid biosynthesis; Biosynthesis of unsaturated fatty acids,organic-acids
AT3G02620,ath00061; ath01040,Fatty acid biosynthesis; Biosynthesis of unsaturated fatty acids,organic-acids
AT3G02630,ath00061; ath01040,Fatty acid biosynthesis; Biosynthesis of unsaturated fatty acids,organic-acids
AT3G02870,ath00053; ath00562,Ascorbate and aldarate metabolism; Inositol phosphate metabolism,alcohol-sugars
AT3G03070,ath00190,Oxidative phosphorylation,other
AT3G03100,ath00190,Oxidative phosphorylation,other
AT3G03190,ath00480,Glutathione metabolism,other
AT3G03250,ath00040; ath00052; ath00500; ath00520,Pentose and glucuronate interconversions; Galactose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT3G03520,ath00562; ath00564; ath00565,Inositol phosphate metabolism; Glycerophospholipid metabolism; Ether lipid metabolism,alcohol-sugars
AT3G03530,ath00562; ath00564; ath00565,Inositol phosphate metabolism; Glycerophospholipid metabolism; Ether lipid metabolism,alcohol-sugars
AT3G03540,ath00562; ath00564; ath00565,Inositol phosphate metabolism; Glycerophospholipid metabolism; Ether lipid metabolism,alcohol-sugars
AT3G03630,ath00920; ath00270,Sulfur metabolism; Cysteine and methionine metabolism,amino acids
